,school_name,school_code,f_teacher_count,m_teacher_count,year,percent_male
437,Chicopee - Chicopee Comprehensive HS,610510,48.8,56.7,9.0,0.5374407582938389
438,Chicopee - Chicopee High,610505,61.1,32.0,9.0,0.34371643394199786
447,City On A Hill Charter Public (District) - City On A Hill Charter Public School,4370505,9.7,5.0,9.0,0.3401360544217687
451,Clinton - Clinton Senior High,640505,22.5,21.8,9.0,0.4920993227990971
453,Cohasset - Cohasset Middle/High School,650505,32.7,19.8,9.0,0.37714285714285717
454,Cohasset - Deer Hill,650005,16.0,4.0,9.0,0.2
462,Concord-Carlisle - Concord Carlisle High,6400505,47.7,44.2,9.0,0.4809575625680087
465,Danvers - Danvers High,710505,44.0,32.5,9.0,0.42483660130718953
472,Dartmouth - Dartmouth High,720505,44.0,32.5,9.0,0.42483660130718953
478,Dedham - Dedham High,730505,34.2,24.3,9.0,0.4153846153846154
484,Deerfield - Deerfield Elem,740015,28.4,3.2,9.0,0.10126582278481014
493,Dighton-Rehoboth - Dighton Middle School,6500305,21.9,8.0,9.0,0.26755852842809363
494,Dighton-Rehoboth - Dighton-Rehoboth Rhs,6500505,40.2,34.4,9.0,0.4611260053619303
495,Dighton-Rehoboth - Dorothy L Beckwith,6500310,29.0,10.0,9.0,0.2564102564102564
496,Dighton-Rehoboth - Palmer River,6500010,36.0,0.0,9.0,0.0
499,Douglas - Douglas High School,770505,21.0,20.0,9.0,0.4878048780487805
501,Dover - Chickering,780005,32.0,3.0,9.0,0.08571428571428572
502,Dover-Sherborn - Dover-Sherborn Reg High,6550505,25.7,23.7,9.0,0.4797570850202429
503,Dover-Sherborn - Dover-Sherborn Reg MS,6550405,32.5,10.8,9.0,0.2494226327944573
504,Dracut - Brookside Elementary,790035,24.8,1.7,9.0,0.06415094339622641
505,Dracut - Dracut Senior High,790505,42.7,23.8,9.0,0.35789473684210527
507,Dracut - Greenmont Avenue,790030,10.7,0.0,9.0,0.0
508,Dracut - Joseph A Campbell Elem,790020,26.5,0.0,9.0,0.0
509,Dracut - Lakeview Junior High,790410,27.3,7.8,9.0,0.2222222222222222
512,Dudley-Charlton Reg - Charlton Middle School,6580310,35.3,11.9,9.0,0.25211864406779666
513,Dudley-Charlton Reg - Dudley Elementary,6580005,22.9,0.2,9.0,0.00865800865800866
514,Dudley-Charlton Reg - Dudley Middle School,6580305,35.2,10.0,9.0,0.22123893805309733
515,Dudley-Charlton Reg - Heritage School,6580030,30.4,1.8,9.0,0.05590062111801243
517,Dudley-Charlton Reg - Shepherd Hill Reg High,6580505,41.3,37.0,9.0,0.4725415070242657
520,Duxbury - Duxbury High,820505,40.0,26.4,9.0,0.3975903614457831
523,East Bridgewater - East Bridgewater High,830505,25.8,18.0,9.0,0.4109589041095891
524,East Bridgewater - Gordon W Mitchell,830010,48.0,13.2,9.0,0.2156862745098039
526,East Longmeadow - East Longmeadow High,870505,36.4,22.0,9.0,0.3767123287671233
532,Easthampton - Easthampton High,860505,19.2,18.5,9.0,0.49071618037135273
537,Easton - Easton Middle School,880405,42.7,11.6,9.0,0.21362799263351748
539,Easton - H H Richardson School,880025,20.9,2.0,9.0,0.08733624454148473
541,Easton - Oliver Ames High,880505,44.8,27.0,9.0,0.3760445682451254
547,Everett - Everett High,930505,61.7,58.7,9.0,0.48754152823920266
556,Fairhaven - Fairhaven High,940505,36.1,12.5,9.0,0.257201646090535
561,Fall River - B M C Durfee High,950505,97.6,77.6,9.0,0.4429223744292237
562,Fall River - Carlton M. Viveiros Elementary School,950009,29.0,6.3,9.0,0.1784702549575071
563,Fall River - Edmond P Talbot Middle,950305,32.6,15.0,9.0,0.31512605042016806
565,Fall River - James Tansey,950140,11.8,3.5,9.0,0.22875816993464052
566,Fall River - John J Doran,950045,24.3,1.5,9.0,0.05813953488372093
567,Fall River - Letourneau Elementary School,950013,22.0,5.4,9.0,0.19708029197080296
568,Fall River - Mary Fonseca Elementary School,950011,24.0,3.8,9.0,0.13669064748201437
569,Fall River - Matthew J Kuss Middle,950320,27.8,14.7,9.0,0.3458823529411765
570,Fall River - Morton Middle,950315,35.8,13.0,9.0,0.26639344262295084
571,Fall River - North End Elementary,950005,33.6,2.0,9.0,0.056179775280898875
573,Fall River - Samuel Watson,950145,12.5,2.0,9.0,0.13793103448275862
574,Fall River - Spencer Borden,950130,25.9,4.8,9.0,0.1563517915309446
575,Fall River - William S Greene,950065,36.0,2.3,9.0,0.06005221932114883
577,Falmouth - Falmouth High,960505,42.3,32.4,9.0,0.4337349397590362
583,Farmington River Reg - Farmington River Elem,6620020,10.7,1.0,9.0,0.08547008547008547
589,Fitchburg - Fitchburg High,970505,49.6,33.6,9.0,0.40384615384615385
597,Foxborough - Foxborough High,990505,35.3,25.4,9.0,0.4184514003294893
607,Framingham - Framingham H S,1000515,96.4,57.4,9.0,0.3732119635890767
615,Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,4780505,26.5,14.8,9.0,0.3583535108958838
619,Franklin - Franklin High,1010505,57.7,37.2,9.0,0.39199157007376184
627,Franklin County Regional Vocational Technical - Franklin County Tech,8180605,18.9,34.1,9.0,0.6433962264150944
629,Freetown-Lakeville - Apponequet Regional High,6650505,38.6,18.3,9.0,0.3216168717047451
630,Freetown-Lakeville - Freetown-Lakeville Intermediate School,6650015,14.6,3.6,9.0,0.19780219780219782
631,Freetown-Lakeville - Freetown-Lakeville Middle School,6650305,36.5,15.3,9.0,0.2953667953667954
632,Frontier - Frontier Reg,6700505,30.2,25.8,9.0,0.46071428571428574
640,Gateway - Gateway Reg High,6720505,12.4,11.5,9.0,0.48117154811715485
645,Georgetown - Georgetown Middle/High,1050505,41.0,12.3,9.0,0.23076923076923078
646,Georgetown - Penn Brook,1050010,26.0,3.0,9.0,0.10344827586206896
652,Gill-Montague - Turners Fall High,6740505,15.2,12.5,9.0,0.4512635379061372
653,Global Learning Charter Public (District) - Global Learning Charter Public School,4960305,18.3,9.0,9.0,0.32967032967032966
656,Gloucester - Gloucester High,1070505,37.1,42.6,9.0,0.534504391468005
663,Grafton - Grafton Elementary,1100200,44.1,2.0,9.0,0.04338394793926247
664,Grafton - Grafton Memorial Senior,1100505,34.6,15.0,9.0,0.3024193548387097
665,Grafton - Grafton Middle,1100305,31.1,18.0,9.0,0.3665987780040733
672,Greater Fall River Regional Vocational Technical - Diman Reg Voc Tech High,8210605,44.0,82.0,9.0,0.6507936507936508
673,Greater Lawrence Regional Vocational Technical - Gr Lawrence Reg Voc Tech,8230605,66.9,72.1,9.0,0.518705035971223
674,Greater Lowell Regional Vocational Technical - Gr Lowell Reg Voc Tech,8280605,92.0,87.0,9.0,0.4860335195530726
675,Greater New Bedford Regional Vocational Technical - Gr New Bedford Voc Tech,8250605,73.0,111.0,9.0,0.6032608695652174
685,Groton-Dunstable - Groton Dunstable Regional,6730505,37.8,17.1,9.0,0.3114754098360656
687,Hadley - Hadley Elem,1170015,19.0,2.1,9.0,0.0995260663507109
688,Hadley - Hopkins Academy,1170505,14.6,8.1,9.0,0.3568281938325991
689,Halifax - Halifax Elementary,1180005,37.0,4.0,9.0,0.0975609756097561
692,Hamilton-Wenham - Hamilton-Wenham Reg High,6750505,30.9,24.6,9.0,0.44324324324324327
695,Hampden-Wilbraham - Green Meadows Elem,6800005,21.7,0.0,9.0,0.0
698,Hampden-Wilbraham - Minnechaug Reg High,6800505,52.3,27.6,9.0,0.3454317897371715
699,Hampden-Wilbraham - Soule Road,6800030,19.8,1.0,9.0,0.04807692307692307
701,Hampden-Wilbraham - Thornton Burgess,6800305,15.1,6.0,9.0,0.2843601895734597
702,Hampden-Wilbraham - Wilbraham Middle,6800310,18.7,9.4,9.0,0.33451957295373663
703,Hampshire - Hampshire Reg High,6830505,36.6,22.0,9.0,0.37542662116040953
707,Hanover - Hanover High,1220505,39.0,23.0,9.0,0.3709677419354839
710,Harvard - Bromfield,1250505,32.0,16.0,9.0,0.3333333333333333
711,Harvard - Harvard Elementary,1250005,26.0,3.0,9.0,0.10344827586206896
725,Haverhill - Haverhill High,1280505,74.2,46.5,9.0,0.3852526926263463
733,Health Careers Academy Charter (District) - Health Careers Academy Charter School,4520505,11.8,7.7,9.0,0.39487179487179486
735,Hilltown Cooperative Charter Public (District) - Hilltown Cooperative Charter Public School,4500105,7.7,4.0,9.0,0.3418803418803419
736,Hingham - Hingham High,1310505,44.2,33.3,9.0,0.42967741935483866
737,Hingham - Hingham Middle School,1310410,45.8,16.6,9.0,0.2660256410256411
