,school_name,school_code,subject,count,CPI,year
2,Abington - Abington High,10505,ENGLISH LANGUAGE ARTS,70,0.961,9.0
3,Abington - Abington High,10505,MATHEMATICS,70,0.932,9.0
6,Abington - Frolio Middle School,10405,ENGLISH LANGUAGE ARTS,183,0.98,9.0
7,Abington - Frolio Middle School,10405,MATHEMATICS,185,0.7490000000000001,9.0
10,Abington - Woodsdale,10015,ENGLISH LANGUAGE ARTS,208,0.856,9.0
11,Abington - Woodsdale,10015,MATHEMATICS,207,0.789,9.0
24,Acton-Boxborough - Acton-Boxborough Reg High,6000505,ENGLISH LANGUAGE ARTS,238,0.995,9.0
25,Acton-Boxborough - Acton-Boxborough Reg High,6000505,MATHEMATICS,238,0.9890000000000001,9.0
26,Acton-Boxborough - Raymond J Grey JH,6000405,ENGLISH LANGUAGE ARTS,498,0.98,9.0
27,Acton-Boxborough - Raymond J Grey JH,6000405,MATHEMATICS,498,0.904,9.0
40,Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,ENGLISH LANGUAGE ARTS,239,0.991,9.0
41,Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,MATHEMATICS,239,0.9109999999999999,9.0
42,Agawam - Agawam High,50505,ENGLISH LANGUAGE ARTS,138,0.96,9.0
43,Agawam - Agawam High,50505,MATHEMATICS,138,0.929,9.0
44,Agawam - Agawam Junior High,50405,ENGLISH LANGUAGE ARTS,364,0.9440000000000001,9.0
45,Agawam - Agawam Junior High,50405,MATHEMATICS,363,0.773,9.0
46,Agawam - Agawam Middle School,50303,ENGLISH LANGUAGE ARTS,317,0.883,9.0
47,Agawam - Agawam Middle School,50303,MATHEMATICS,316,0.815,9.0
48,Agawam - Benjamin J Phelps,50020,ENGLISH LANGUAGE ARTS,79,0.848,9.0
49,Agawam - Benjamin J Phelps,50020,MATHEMATICS,79,0.823,9.0
50,Agawam - Clifford M Granger,50010,ENGLISH LANGUAGE ARTS,55,0.909,9.0
51,Agawam - Clifford M Granger,50010,MATHEMATICS,55,0.95,9.0
52,Agawam - James Clark School,50030,ENGLISH LANGUAGE ARTS,85,0.847,9.0
53,Agawam - James Clark School,50030,MATHEMATICS,85,0.85,9.0
54,Agawam - Robinson Park,50025,ENGLISH LANGUAGE ARTS,78,0.875,9.0
55,Agawam - Robinson Park,50025,MATHEMATICS,77,0.8440000000000001,9.0
56,Amesbury - Amesbury Elementary,70005,ENGLISH LANGUAGE ARTS,66,0.867,9.0
57,Amesbury - Amesbury Elementary,70005,MATHEMATICS,66,0.792,9.0
58,Amesbury - Amesbury High,70505,ENGLISH LANGUAGE ARTS,84,0.943,9.0
59,Amesbury - Amesbury High,70505,MATHEMATICS,80,0.9159999999999999,9.0
60,Amesbury - Amesbury Middle,70013,ENGLISH LANGUAGE ARTS,326,0.929,9.0
61,Amesbury - Amesbury Middle,70013,MATHEMATICS,325,0.76,9.0
62,Amesbury - Charles C Cashman El,70010,ENGLISH LANGUAGE ARTS,96,0.898,9.0
63,Amesbury - Charles C Cashman El,70010,MATHEMATICS,95,0.8340000000000001,9.0
64,Amherst - Crocker Farm Elementary,80009,ENGLISH LANGUAGE ARTS,61,0.82,9.0
65,Amherst - Crocker Farm Elementary,80009,MATHEMATICS,62,0.746,9.0
66,Amherst - Fort River Elementary,80020,ENGLISH LANGUAGE ARTS,133,0.865,9.0
67,Amherst - Fort River Elementary,80020,MATHEMATICS,133,0.821,9.0
70,Amherst - Wildwood Elementary,80050,ENGLISH LANGUAGE ARTS,94,0.9229999999999999,9.0
71,Amherst - Wildwood Elementary,80050,MATHEMATICS,94,0.8240000000000001,9.0
72,Amherst-Pelham - Amherst Regional High,6050505,ENGLISH LANGUAGE ARTS,145,0.972,9.0
73,Amherst-Pelham - Amherst Regional High,6050505,MATHEMATICS,141,0.9470000000000001,9.0
74,Amherst-Pelham - Amherst Regional MS,6050405,ENGLISH LANGUAGE ARTS,254,0.975,9.0
75,Amherst-Pelham - Amherst Regional MS,6050405,MATHEMATICS,254,0.8740000000000001,9.0
76,Andover - Andover High,90505,ENGLISH LANGUAGE ARTS,205,0.9890000000000001,9.0
77,Andover - Andover High,90505,MATHEMATICS,207,0.983,9.0
94,Arlington - Arlington High,100505,ENGLISH LANGUAGE ARTS,141,0.991,9.0
95,Arlington - Arlington High,100505,MATHEMATICS,144,0.955,9.0
114,Ashburnham-Westminster - Oakmont Regional H S,6100505,ENGLISH LANGUAGE ARTS,84,0.9670000000000001,9.0
115,Ashburnham-Westminster - Oakmont Regional H S,6100505,MATHEMATICS,85,0.976,9.0
120,Ashland - Ashland High,140505,ENGLISH LANGUAGE ARTS,84,0.988,9.0
121,Ashland - Ashland High,140505,MATHEMATICS,84,0.9790000000000001,9.0
126,Assabet Valley Regional Vocational Technical - Assabet Valley Voc HS,8010605,ENGLISH LANGUAGE ARTS,92,0.951,9.0
127,Assabet Valley Regional Vocational Technical - Assabet Valley Voc HS,8010605,MATHEMATICS,92,0.9129999999999999,9.0
128,Athol-Royalston - Athol High,6150505,ENGLISH LANGUAGE ARTS,50,0.95,9.0
129,Athol-Royalston - Athol High,6150505,MATHEMATICS,50,0.86,9.0
130,Athol-Royalston - Athol-Royalston Middle School,6150305,ENGLISH LANGUAGE ARTS,211,0.866,9.0
131,Athol-Royalston - Athol-Royalston Middle School,6150305,MATHEMATICS,211,0.659,9.0
132,Athol-Royalston - Pleasant St,6150016,ENGLISH LANGUAGE ARTS,59,0.835,9.0
133,Athol-Royalston - Pleasant St,6150016,MATHEMATICS,59,0.818,9.0
140,Atlantis Charter (District) - Atlantis Charter School,4910550,ENGLISH LANGUAGE ARTS,239,0.885,9.0
141,Atlantis Charter (District) - Atlantis Charter School,4910550,MATHEMATICS,238,0.746,9.0
144,Attleboro - Attleboro High,160505,ENGLISH LANGUAGE ARTS,201,0.95,9.0
145,Attleboro - Attleboro High,160505,MATHEMATICS,202,0.91,9.0
162,Auburn - Auburn Senior High,170505,ENGLISH LANGUAGE ARTS,71,0.968,9.0
163,Auburn - Auburn Senior High,170505,MATHEMATICS,71,0.9440000000000001,9.0
196,Bedford - Bedford High,230505,ENGLISH LANGUAGE ARTS,88,0.983,9.0
197,Bedford - Bedford High,230505,MATHEMATICS,88,0.9570000000000001,9.0
202,Belchertown - Belchertown High,240505,ENGLISH LANGUAGE ARTS,92,1.0,9.0
203,Belchertown - Belchertown High,240505,MATHEMATICS,90,0.978,9.0
220,Belmont - Belmont High,260505,ENGLISH LANGUAGE ARTS,144,0.993,9.0
221,Belmont - Belmont High,260505,MATHEMATICS,142,0.9840000000000001,9.0
236,Berkley - Berkley Community School,270010,ENGLISH LANGUAGE ARTS,96,0.8390000000000001,9.0
237,Berkley - Berkley Community School,270010,MATHEMATICS,96,0.841,9.0
238,Berkley - Berkley Middle School,270305,ENGLISH LANGUAGE ARTS,191,0.9359999999999999,9.0
239,Berkley - Berkley Middle School,270305,MATHEMATICS,190,0.807,9.0
242,Berkshire Hills - Monument Mt Reg High,6180505,ENGLISH LANGUAGE ARTS,64,0.98,9.0
243,Berkshire Hills - Monument Mt Reg High,6180505,MATHEMATICS,62,0.9440000000000001,9.0
254,Beverly - Beverly High,300505,ENGLISH LANGUAGE ARTS,134,0.948,9.0
255,Beverly - Beverly High,300505,MATHEMATICS,133,0.895,9.0
266,Billerica - Billerica Memorial High School,310505,ENGLISH LANGUAGE ARTS,162,0.948,9.0
267,Billerica - Billerica Memorial High School,310505,MATHEMATICS,160,0.93,9.0
284,Blackstone Valley Regional Vocational Technical - Blackstone Valley,8050605,ENGLISH LANGUAGE ARTS,99,0.9670000000000001,9.0
285,Blackstone Valley Regional Vocational Technical - Blackstone Valley,8050605,MATHEMATICS,101,0.9329999999999999,9.0
288,Blackstone-Millville - Blackstone Millville RHS,6220505,ENGLISH LANGUAGE ARTS,57,0.978,9.0
289,Blackstone-Millville - Blackstone Millville RHS,6220505,MATHEMATICS,56,0.9420000000000001,9.0
296,Blue Hills Regional Vocational Technical - Blue Hills Reg Voc Tech,8060605,ENGLISH LANGUAGE ARTS,79,0.924,9.0
297,Blue Hills Regional Vocational Technical - Blue Hills Reg Voc Tech,8060605,MATHEMATICS,77,0.812,9.0
558,Bourne - Bourne High,360505,ENGLISH LANGUAGE ARTS,78,0.997,9.0
559,Bourne - Bourne High,360505,MATHEMATICS,77,0.968,9.0
576,Braintree - Braintree High,400505,ENGLISH LANGUAGE ARTS,177,0.982,9.0
577,Braintree - Braintree High,400505,MATHEMATICS,178,0.9790000000000001,9.0
592,Brewster - Eddy Elementary,410010,ENGLISH LANGUAGE ARTS,125,0.938,9.0
593,Brewster - Eddy Elementary,410010,MATHEMATICS,124,0.925,9.0
596,Bridgewater-Raynham - Bridgewater-Raynham Reg,6250505,ENGLISH LANGUAGE ARTS,211,0.9570000000000001,9.0
597,Bridgewater-Raynham - Bridgewater-Raynham Reg,6250505,MATHEMATICS,210,0.9179999999999999,9.0
608,Bristol County Agricultural - Bristol County Agr High,9100705,ENGLISH LANGUAGE ARTS,81,0.9540000000000001,9.0
609,Bristol County Agricultural - Bristol County Agr High,9100705,MATHEMATICS,81,0.935,9.0
610,Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Voc Tech,8100605,ENGLISH LANGUAGE ARTS,152,0.9570000000000001,9.0
611,Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Voc Tech,8100605,MATHEMATICS,153,0.873,9.0
612,Brockton - Brockton High,440505,ENGLISH LANGUAGE ARTS,432,0.924,9.0
613,Brockton - Brockton High,440505,MATHEMATICS,428,0.8109999999999999,9.0
650,Brookline - Brookline High,460505,ENGLISH LANGUAGE ARTS,213,0.975,9.0
651,Brookline - Brookline High,460505,MATHEMATICS,212,0.956,9.0
652,Brookline - Edith C Baker,460005,ENGLISH LANGUAGE ARTS,165,0.965,9.0
653,Brookline - Edith C Baker,460005,MATHEMATICS,165,0.9259999999999999,9.0
654,Brookline - Edward Devotion,460015,ENGLISH LANGUAGE ARTS,203,0.9520000000000001,9.0
655,Brookline - Edward Devotion,460015,MATHEMATICS,203,0.885,9.0
656,Brookline - Heath,460025,ENGLISH LANGUAGE ARTS,115,0.9540000000000001,9.0
657,Brookline - Heath,460025,MATHEMATICS,115,0.924,9.0
658,Brookline - John D Runkle,460045,ENGLISH LANGUAGE ARTS,142,0.963,9.0
659,Brookline - John D Runkle,460045,MATHEMATICS,142,0.882,9.0
660,Brookline - Lawrence,460030,ENGLISH LANGUAGE ARTS,155,0.935,9.0
661,Brookline - Lawrence,460030,MATHEMATICS,154,0.9009999999999999,9.0
662,Brookline - Michael Driscoll,460020,ENGLISH LANGUAGE ARTS,125,0.946,9.0
663,Brookline - Michael Driscoll,460020,MATHEMATICS,125,0.89,9.0
664,Brookline - Pierce,460040,ENGLISH LANGUAGE ARTS,185,0.968,9.0
665,Brookline - Pierce,460040,MATHEMATICS,186,0.922,9.0
666,Brookline - William H Lincoln,460035,ENGLISH LANGUAGE ARTS,126,0.9420000000000001,9.0
667,Brookline - William H Lincoln,460035,MATHEMATICS,125,0.8740000000000001,9.0
668,Burlington - Burlington High,480505,ENGLISH LANGUAGE ARTS,138,0.9670000000000001,9.0
669,Burlington - Burlington High,480505,MATHEMATICS,139,0.917,9.0
682,Cambridge - Cambridge Rindge and Latin,490506,ENGLISH LANGUAGE ARTS,166,0.8959999999999999,9.0
683,Cambridge - Cambridge Rindge and Latin,490506,MATHEMATICS,165,0.845,9.0
706,Canton - Canton High,500505,ENGLISH LANGUAGE ARTS,89,0.972,9.0
707,Canton - Canton High,500505,MATHEMATICS,88,0.963,9.0
716,Cape Cod Lighthouse Charter (District) - Cape Cod Lighthouse Charter School,4320530,ENGLISH LANGUAGE ARTS,112,0.973,9.0
717,Cape Cod Lighthouse Charter (District) - Cape Cod Lighthouse Charter School,4320530,MATHEMATICS,112,0.862,9.0
718,Cape Cod Regional Vocational Technical - Cape Cod Region Voc Tech,8150605,ENGLISH LANGUAGE ARTS,66,0.9279999999999999,9.0
719,Cape Cod Regional Vocational Technical - Cape Cod Region Voc Tech,8150605,MATHEMATICS,66,0.826,9.0
736,Central Berkshire - Wahconah Regional High,6350505,ENGLISH LANGUAGE ARTS,78,0.9840000000000001,9.0
737,Central Berkshire - Wahconah Regional High,6350505,MATHEMATICS,78,0.904,9.0
744,Chelmsford - Byam School,560030,ENGLISH LANGUAGE ARTS,99,0.9470000000000001,9.0
745,Chelmsford - Byam School,560030,MATHEMATICS,99,0.8740000000000001,9.0
746,Chelmsford - Center Elementary School,560005,ENGLISH LANGUAGE ARTS,107,0.897,9.0
747,Chelmsford - Center Elementary School,560005,MATHEMATICS,107,0.883,9.0
748,Chelmsford - Charles D Harrington,560025,ENGLISH LANGUAGE ARTS,126,0.96,9.0
749,Chelmsford - Charles D Harrington,560025,MATHEMATICS,125,0.888,9.0
750,Chelmsford - Chelmsford High,560505,ENGLISH LANGUAGE ARTS,211,0.985,9.0
751,Chelmsford - Chelmsford High,560505,MATHEMATICS,210,0.95,9.0
752,Chelmsford - Col Moses Parker Schl,560305,ENGLISH LANGUAGE ARTS,362,0.966,9.0
753,Chelmsford - Col Moses Parker Schl,560305,MATHEMATICS,362,0.878,9.0
754,Chelmsford - McCarthy Middle School,560310,ENGLISH LANGUAGE ARTS,441,0.963,9.0
755,Chelmsford - McCarthy Middle School,560310,MATHEMATICS,442,0.8390000000000001,9.0
756,Chelmsford - South Row,560015,ENGLISH LANGUAGE ARTS,87,0.9309999999999999,9.0
757,Chelmsford - South Row,560015,MATHEMATICS,88,0.866,9.0
758,Chelsea - Chelsea High,570505,ENGLISH LANGUAGE ARTS,125,0.828,9.0
759,Chelsea - Chelsea High,570505,MATHEMATICS,127,0.691,9.0
774,Chesterfield-Goshen - New Hingham Regional Elem,6320025,ENGLISH LANGUAGE ARTS,40,0.8690000000000001,9.0
775,Chesterfield-Goshen - New Hingham Regional Elem,6320025,MATHEMATICS,40,0.8190000000000001,9.0
784,Chicopee - Chicopee Comprehensive HS,610510,ENGLISH LANGUAGE ARTS,142,0.889,9.0
785,Chicopee - Chicopee Comprehensive HS,610510,MATHEMATICS,135,0.7390000000000001,9.0
786,Chicopee - Chicopee High,610505,ENGLISH LANGUAGE ARTS,139,0.887,9.0
787,Chicopee - Chicopee High,610505,MATHEMATICS,141,0.77,9.0
802,City On A Hill Charter Public (District) - City On A Hill Charter Public School,4370505,ENGLISH LANGUAGE ARTS,31,0.992,9.0
803,City On A Hill Charter Public (District) - City On A Hill Charter Public School,4370505,MATHEMATICS,31,0.968,9.0
810,Clinton - Clinton Senior High,640505,ENGLISH LANGUAGE ARTS,59,0.9620000000000001,9.0
811,Clinton - Clinton Senior High,640505,MATHEMATICS,60,0.938,9.0
814,Cohasset - Cohasset Middle/High School,650505,ENGLISH LANGUAGE ARTS,190,0.968,9.0
815,Cohasset - Cohasset Middle/High School,650505,MATHEMATICS,190,0.938,9.0
816,Cohasset - Deer Hill,650005,ENGLISH LANGUAGE ARTS,166,0.943,9.0
817,Cohasset - Deer Hill,650005,MATHEMATICS,166,0.919,9.0
830,Concord-Carlisle - Concord Carlisle High,6400505,ENGLISH LANGUAGE ARTS,160,0.986,9.0
831,Concord-Carlisle - Concord Carlisle High,6400505,MATHEMATICS,162,0.943,9.0
836,Danvers - Danvers High,710505,ENGLISH LANGUAGE ARTS,148,0.971,9.0
837,Danvers - Danvers High,710505,MATHEMATICS,147,0.951,9.0
850,Dartmouth - Dartmouth High,720505,ENGLISH LANGUAGE ARTS,134,0.961,9.0
851,Dartmouth - Dartmouth High,720505,MATHEMATICS,135,0.907,9.0
862,Dedham - Dedham High,730505,ENGLISH LANGUAGE ARTS,87,0.9540000000000001,9.0
863,Dedham - Dedham High,730505,MATHEMATICS,88,0.9490000000000001,9.0
872,Deerfield - Deerfield Elem,740015,ENGLISH LANGUAGE ARTS,136,0.9079999999999999,9.0
873,Deerfield - Deerfield Elem,740015,MATHEMATICS,135,0.809,9.0
890,Dighton-Rehoboth - Dighton Middle School,6500305,ENGLISH LANGUAGE ARTS,194,0.951,9.0
891,Dighton-Rehoboth - Dighton Middle School,6500305,MATHEMATICS,194,0.8029999999999999,9.0
892,Dighton-Rehoboth - Dighton-Rehoboth Rhs,6500505,ENGLISH LANGUAGE ARTS,125,0.98,9.0
893,Dighton-Rehoboth - Dighton-Rehoboth Rhs,6500505,MATHEMATICS,124,0.917,9.0
894,Dighton-Rehoboth - Dorothy L Beckwith,6500310,ENGLISH LANGUAGE ARTS,279,0.929,9.0
895,Dighton-Rehoboth - Dorothy L Beckwith,6500310,MATHEMATICS,278,0.81,9.0
896,Dighton-Rehoboth - Palmer River,6500010,ENGLISH LANGUAGE ARTS,131,0.87,9.0
897,Dighton-Rehoboth - Palmer River,6500010,MATHEMATICS,131,0.8109999999999999,9.0
898,Douglas - Douglas High School,770505,ENGLISH LANGUAGE ARTS,116,0.9890000000000001,9.0
899,Douglas - Douglas High School,770505,MATHEMATICS,115,0.857,9.0
902,Dover - Chickering,780005,ENGLISH LANGUAGE ARTS,162,0.955,9.0
903,Dover - Chickering,780005,MATHEMATICS,162,0.915,9.0
904,Dover-Sherborn - Dover-Sherborn Reg High,6550505,ENGLISH LANGUAGE ARTS,59,1.0,9.0
905,Dover-Sherborn - Dover-Sherborn Reg High,6550505,MATHEMATICS,59,0.992,9.0
906,Dover-Sherborn - Dover-Sherborn Reg MS,6550405,ENGLISH LANGUAGE ARTS,253,0.985,9.0
907,Dover-Sherborn - Dover-Sherborn Reg MS,6550405,MATHEMATICS,253,0.9129999999999999,9.0
908,Dracut - Brookside Elementary,790035,ENGLISH LANGUAGE ARTS,109,0.8170000000000001,9.0
909,Dracut - Brookside Elementary,790035,MATHEMATICS,110,0.725,9.0
910,Dracut - Dracut Senior High,790505,ENGLISH LANGUAGE ARTS,150,0.968,9.0
911,Dracut - Dracut Senior High,790505,MATHEMATICS,148,0.943,9.0
914,Dracut - Greenmont Avenue,790030,ENGLISH LANGUAGE ARTS,49,0.9079999999999999,9.0
915,Dracut - Greenmont Avenue,790030,MATHEMATICS,49,0.867,9.0
916,Dracut - Joseph A Campbell Elem,790020,ENGLISH LANGUAGE ARTS,92,0.8859999999999999,9.0
917,Dracut - Joseph A Campbell Elem,790020,MATHEMATICS,92,0.7959999999999999,9.0
918,Dracut - Lakeview Junior High,790410,ENGLISH LANGUAGE ARTS,319,0.917,9.0
919,Dracut - Lakeview Junior High,790410,MATHEMATICS,318,0.711,9.0
922,Dudley-Charlton Reg - Charlton Middle School,6580310,ENGLISH LANGUAGE ARTS,385,0.951,9.0
923,Dudley-Charlton Reg - Charlton Middle School,6580310,MATHEMATICS,384,0.835,9.0
924,Dudley-Charlton Reg - Dudley Elementary,6580005,ENGLISH LANGUAGE ARTS,131,0.882,9.0
925,Dudley-Charlton Reg - Dudley Elementary,6580005,MATHEMATICS,131,0.855,9.0
926,Dudley-Charlton Reg - Dudley Middle School,6580305,ENGLISH LANGUAGE ARTS,270,0.938,9.0
927,Dudley-Charlton Reg - Dudley Middle School,6580305,MATHEMATICS,270,0.7879999999999999,9.0
928,Dudley-Charlton Reg - Heritage School,6580030,ENGLISH LANGUAGE ARTS,165,0.9,9.0
929,Dudley-Charlton Reg - Heritage School,6580030,MATHEMATICS,165,0.885,9.0
930,Dudley-Charlton Reg - Shepherd Hill Reg High,6580505,ENGLISH LANGUAGE ARTS,164,0.977,9.0
931,Dudley-Charlton Reg - Shepherd Hill Reg High,6580505,MATHEMATICS,164,0.902,9.0
934,Duxbury - Duxbury High,820505,ENGLISH LANGUAGE ARTS,116,0.998,9.0
935,Duxbury - Duxbury High,820505,MATHEMATICS,115,0.965,9.0
940,East Bridgewater - East Bridgewater High,830505,ENGLISH LANGUAGE ARTS,68,0.993,9.0
941,East Bridgewater - East Bridgewater High,830505,MATHEMATICS,67,0.937,9.0
942,East Bridgewater - Gordon W Mitchell,830010,ENGLISH LANGUAGE ARTS,490,0.938,9.0
943,East Bridgewater - Gordon W Mitchell,830010,MATHEMATICS,492,0.852,9.0
946,East Longmeadow - East Longmeadow High,870505,ENGLISH LANGUAGE ARTS,118,0.9890000000000001,9.0
947,East Longmeadow - East Longmeadow High,870505,MATHEMATICS,118,0.968,9.0
956,Easthampton - Easthampton High,860505,ENGLISH LANGUAGE ARTS,48,0.917,9.0
957,Easthampton - Easthampton High,860505,MATHEMATICS,48,0.818,9.0
964,Easton - Easton Middle School,880405,ENGLISH LANGUAGE ARTS,464,0.956,9.0
965,Easton - Easton Middle School,880405,MATHEMATICS,465,0.86,9.0
968,Easton - H H Richardson School,880025,ENGLISH LANGUAGE ARTS,185,0.88,9.0
969,Easton - H H Richardson School,880025,MATHEMATICS,185,0.87,9.0
970,Easton - Oliver Ames High,880505,ENGLISH LANGUAGE ARTS,137,0.9840000000000001,9.0
971,Easton - Oliver Ames High,880505,MATHEMATICS,137,0.9490000000000001,9.0
980,Everett - Everett High,930505,ENGLISH LANGUAGE ARTS,179,0.895,9.0
981,Everett - Everett High,930505,MATHEMATICS,173,0.7759999999999999,9.0
998,Fairhaven - Fairhaven High,940505,ENGLISH LANGUAGE ARTS,65,0.9690000000000001,9.0
999,Fairhaven - Fairhaven High,940505,MATHEMATICS,65,0.9420000000000001,9.0
1006,Fall River - B M C Durfee High,950505,ENGLISH LANGUAGE ARTS,265,0.897,9.0
1007,Fall River - B M C Durfee High,950505,MATHEMATICS,263,0.753,9.0
1008,Fall River - Carlton M. Viveiros Elementary School,950009,ENGLISH LANGUAGE ARTS,172,0.672,9.0
1009,Fall River - Carlton M. Viveiros Elementary School,950009,MATHEMATICS,172,0.522,9.0
1010,Fall River - Edmond P Talbot Middle,950305,ENGLISH LANGUAGE ARTS,242,0.851,9.0
1011,Fall River - Edmond P Talbot Middle,950305,MATHEMATICS,244,0.625,9.0
1014,Fall River - James Tansey,950140,ENGLISH LANGUAGE ARTS,76,0.7859999999999999,9.0
1015,Fall River - James Tansey,950140,MATHEMATICS,76,0.75,9.0
1016,Fall River - John J Doran,950045,ENGLISH LANGUAGE ARTS,78,0.5670000000000001,9.0
1017,Fall River - John J Doran,950045,MATHEMATICS,78,0.513,9.0
1018,Fall River - Letourneau Elementary School,950013,ENGLISH LANGUAGE ARTS,132,0.703,9.0
1019,Fall River - Letourneau Elementary School,950013,MATHEMATICS,131,0.588,9.0
1020,Fall River - Mary Fonseca Elementary School,950011,ENGLISH LANGUAGE ARTS,145,0.716,9.0
1021,Fall River - Mary Fonseca Elementary School,950011,MATHEMATICS,144,0.568,9.0
1022,Fall River - Matthew J Kuss Middle,950320,ENGLISH LANGUAGE ARTS,266,0.836,9.0
1023,Fall River - Matthew J Kuss Middle,950320,MATHEMATICS,264,0.6459999999999999,9.0
1024,Fall River - Morton Middle,950315,ENGLISH LANGUAGE ARTS,265,0.8170000000000001,9.0
1025,Fall River - Morton Middle,950315,MATHEMATICS,265,0.545,9.0
1026,Fall River - North End Elementary,950005,ENGLISH LANGUAGE ARTS,132,0.828,9.0
1027,Fall River - North End Elementary,950005,MATHEMATICS,132,0.742,9.0
1028,Fall River - Samuel Watson,950145,ENGLISH LANGUAGE ARTS,60,0.688,9.0
1029,Fall River - Samuel Watson,950145,MATHEMATICS,60,0.629,9.0
1030,Fall River - Spencer Borden,950130,ENGLISH LANGUAGE ARTS,121,0.895,9.0
1031,Fall River - Spencer Borden,950130,MATHEMATICS,119,0.7959999999999999,9.0
1032,Fall River - William S Greene,950065,ENGLISH LANGUAGE ARTS,190,0.774,9.0
1033,Fall River - William S Greene,950065,MATHEMATICS,190,0.65,9.0
1036,Falmouth - Falmouth High,960505,ENGLISH LANGUAGE ARTS,128,0.982,9.0
1037,Falmouth - Falmouth High,960505,MATHEMATICS,123,0.9470000000000001,9.0
1048,Farmington River Reg - Farmington River Elem,6620020,ENGLISH LANGUAGE ARTS,36,0.84,9.0
1049,Farmington River Reg - Farmington River Elem,6620020,MATHEMATICS,36,0.868,9.0
1058,Fitchburg - Fitchburg High,970505,ENGLISH LANGUAGE ARTS,134,0.841,9.0
1059,Fitchburg - Fitchburg High,970505,MATHEMATICS,132,0.797,9.0
1074,Foxborough - Foxborough High,990505,ENGLISH LANGUAGE ARTS,106,0.983,9.0
1075,Foxborough - Foxborough High,990505,MATHEMATICS,105,0.976,9.0
1092,Framingham - Framingham H S,1000515,ENGLISH LANGUAGE ARTS,280,0.9440000000000001,9.0
1093,Framingham - Framingham H S,1000515,MATHEMATICS,280,0.929,9.0
1108,Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,4780505,ENGLISH LANGUAGE ARTS,88,0.972,9.0
1109,Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,4780505,MATHEMATICS,88,0.773,9.0
1114,Franklin - Franklin High,1010505,ENGLISH LANGUAGE ARTS,214,0.982,9.0
1115,Franklin - Franklin High,1010505,MATHEMATICS,210,0.956,9.0
1130,Franklin County Regional Vocational Technical - Franklin County Tech,8180605,ENGLISH LANGUAGE ARTS,42,0.917,9.0
1131,Franklin County Regional Vocational Technical - Franklin County Tech,8180605,MATHEMATICS,42,0.833,9.0
1134,Freetown-Lakeville - Apponequet Regional High,6650505,ENGLISH LANGUAGE ARTS,102,0.988,9.0
1135,Freetown-Lakeville - Apponequet Regional High,6650505,MATHEMATICS,103,0.9470000000000001,9.0
1136,Freetown-Lakeville - Freetown-Lakeville Intermediate School,6650015,ENGLISH LANGUAGE ARTS,143,0.899,9.0
1137,Freetown-Lakeville - Freetown-Lakeville Intermediate School,6650015,MATHEMATICS,144,0.79,9.0
1138,Freetown-Lakeville - Freetown-Lakeville Middle School,6650305,ENGLISH LANGUAGE ARTS,377,0.9540000000000001,9.0
1139,Freetown-Lakeville - Freetown-Lakeville Middle School,6650305,MATHEMATICS,377,0.812,9.0
1140,Frontier - Frontier Reg,6700505,ENGLISH LANGUAGE ARTS,178,0.945,9.0
1141,Frontier - Frontier Reg,6700505,MATHEMATICS,175,0.856,9.0
1154,Gateway - Gateway Reg High,6720505,ENGLISH LANGUAGE ARTS,33,0.992,9.0
1155,Gateway - Gateway Reg High,6720505,MATHEMATICS,33,0.902,9.0
1162,Georgetown - Georgetown Middle/High,1050505,ENGLISH LANGUAGE ARTS,234,0.953,9.0
1163,Georgetown - Georgetown Middle/High,1050505,MATHEMATICS,234,0.857,9.0
1164,Georgetown - Penn Brook,1050010,ENGLISH LANGUAGE ARTS,185,0.9420000000000001,9.0
1165,Georgetown - Penn Brook,1050010,MATHEMATICS,178,0.84,9.0
1172,Gill-Montague - Turners Fall High,6740505,ENGLISH LANGUAGE ARTS,37,0.932,9.0
1173,Gill-Montague - Turners Fall High,6740505,MATHEMATICS,36,0.903,9.0
1174,Global Learning Charter Public  (District) - Global Learning Charter Public School,4960305,ENGLISH LANGUAGE ARTS,184,0.846,9.0
1175,Global Learning Charter Public  (District) - Global Learning Charter Public School,4960305,MATHEMATICS,184,0.664,9.0
1180,Gloucester - Gloucester High,1070505,ENGLISH LANGUAGE ARTS,128,0.945,9.0
1181,Gloucester - Gloucester High,1070505,MATHEMATICS,126,0.847,9.0
1190,Grafton - Grafton Elementary ,1100200,ENGLISH LANGUAGE ARTS,370,0.898,9.0
1191,Grafton - Grafton Elementary ,1100200,MATHEMATICS,370,0.826,9.0
1192,Grafton - Grafton Memorial Senior,1100505,ENGLISH LANGUAGE ARTS,97,0.9590000000000001,9.0
1193,Grafton - Grafton Memorial Senior,1100505,MATHEMATICS,97,0.894,9.0
1194,Grafton - Grafton Middle,1100305,ENGLISH LANGUAGE ARTS,321,0.9470000000000001,9.0
1195,Grafton - Grafton Middle,1100305,MATHEMATICS,321,0.861,9.0
